Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY-5845	Super-Pathways // Cofactor-Biosynthesis	Menaquinone-Biosynthesis // Super-Pathways	TAX-2	TAX-37930 // TAX-1467 // TAX-1079 // TAX-47914 // TAX-28447 // TAX-33014 // TAX-31963 // TAX-31964 // TAX-1717 // TAX-50728 // TAX-2036 // TAX-2035 // TAX-33881 // TAX-1863 // TAX-997 // TAX-2054 // TAX-36822 // TAX-2055 // TAX-43674 // TAX-1618 // TAX-1358 // TAX-1359 // TAX-1270 // TAX-1764 // TAX-1770 // TAX-1765 // TAX-1802 // TAX-1767 // TAX-1771 // TAX-1772 // TAX-1773 // TAX-33 // TAX-28118 // TAX-1082 // TAX-1083 // TAX-28123 // TAX-28114 // TAX-1061 // TAX-2061	PWY-5851 // PWY-5805 // PWY-5844 // PWY-5837
PWY-5352	Noncarbon-Nutrients // Energy-Metabolism	Energy-Metabolism // Thiosulfate-Disproportionation	TAX-2	TAX-65555 // TAX-1565 // TAX-876 // TAX-879 // TAX-63561 // TAX-881	RXN-8339
PWY-8162	AROMATIC-COMPOUNDS-DEGRADATION	Phenolic-Compounds-Degradation	TAX-33208 // TAX-2	ORG-6143	RXN-21540 // PHENDEHYD-RXN
PWY0-1590	Energy-Metabolism	Electron-Transfer	TAX-451864 // TAX-2	TAX-511145	RXN-19020 // RXN0-5388
PWY-5890	Cofactor-Biosynthesis	Menaquinone-Biosynthesis	TAX-201174 // TAX-976	TAX-2014 // TAX-1658 // TAX-33888 // TAX-59737 // TAX-144185 // TAX-821 // TAX-818 // TAX-28134 // TAX-28116 // TAX-28132 // TAX-817 // TAX-28111 // TAX-823 // TAX-28123	RXN-9361 // RXN-9358
PWY-5350	Noncarbon-Nutrients	Thiosulfate-Disproportionation	TAX-2 // TAX-2759	TAX-354 // TAX-9913 // TAX-511145 // TAX-40674 // TAX-921	THIOSULFATE-SULFURTRANSFERASE-RXN
PWY-7757	AROMATIC-COMPOUNDS-DEGRADATION	Phenolic-Compounds-Degradation	TAX-2	TAX-1301087	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN // RXN-9832 // RXN-17423 // RXN-17422 // RXN-17421
PWY-5895	Cofactor-Biosynthesis	Menaquinone-Biosynthesis	TAX-85023 // TAX-171552	TAX-28134 // TAX-33885 // TAX-33918 // TAX-69368 // TAX-2033 // TAX-83231 // TAX-839	RXN-9366 // RXN-9365
PWY-7813	Noncarbon-Nutrients // Energy-Metabolism	Energy-Metabolism // Thiosulfate-Disproportionation	TAX-2	TAX-546 // TAX-636 // TAX-584 // TAX-90371 // TAX-99287	RXN-18001
PWY-6534	AMINE-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Phenylethylamine-Degradation	TAX-2	TAX-266 // ORG-6143	RXN-11510 // PHENDEHYD-RXN
PWY0-1544	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-2157 // TAX-2	TAX-160488 // TAX-511145	RXN0-7008 // RXN0-5268
PWY-5898	Super-Pathways // Cofactor-Biosynthesis	Menaquinone-Biosynthesis // Super-Pathways	TAX-85023 // TAX-171552	TAX-41986 // TAX-28134 // TAX-33917 // TAX-33884 // TAX-33885 // TAX-33918 // TAX-69368 // TAX-2033 // TAX-83231 // TAX-839	PWY-5817 // PWY-5892 // PWY-5837
PWY-7118	Carbohydrates-Degradation // Polymer-Degradation	Chitin-Degradation	TAX-33154	TAX-4932	ACETATE--COA-LIGASE-RXN // 1.1.1.39-RXN // MALSYN-RXN // CHITIN-DEACETYLASE-RXN
2PHENDEG-PWY	AMINE-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Phenylethylamine-Degradation	TAX-33208 // TAX-2	TAX-511145	RXN-10817 // PHENDEHYD-RXN
PWY-5838	Super-Pathways // Cofactor-Biosynthesis	Menaquinone-Biosynthesis // Super-Pathways	TAX-183963 // TAX-2	TAX-648 // TAX-644 // TAX-1049 // TAX-1428 // TAX-546 // TAX-1299 // TAX-32062 // TAX-37734 // TAX-511145 // TAX-37929 // TAX-2242 // TAX-2250 // TAX-2246 // TAX-2248 // TAX-29284 // TAX-1618 // TAX-1270 // TAX-1771 // TAX-33 // TAX-37922 // TAX-554 // TAX-1373 // TAX-584 // TAX-585 // TAX-28068 // TAX-51367 // TAX-615 // TAX-1280 // TAX-271 // TAX-274 // TAX-1473 // TAX-548	PWY-5852 // MENAQUINONESYN-PWY // PWY-5837 // PWY-5783
PWY-6906	Carbohydrates-Degradation	Sugar-Derivatives	TAX-641	TAX-66861 // TAX-243277 // TAX-29494	TRANS-RXN0-445 // GLUCOSAMINE-KINASE-RXN // RXN-12629 // N-ACETYLGLUCOSAMINE-KINASE-RXN // GLUCOSAMINE-6-P-DEAMIN-RXN // NAG6PDEACET-RXN // PHOSACETYLGLUCOSAMINEMUT-RXN // RXN-12627
PWY-6699	Carboxylate-Biosynthesis	Carboxylate-Biosynthesis	TAX-33090 // TAX-4751	TAX-746128 // TAX-5061 // TAX-40559 // TAX-3570 // TAX-2870670 // TAX-5180	OXALOACETASE-RXN
PWY-5430	Super-Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Benzoate-Degradation // Super-Pathways	TAX-2	TAX-106590 // TAX-354 // TAX-329 // TAX-471 // TAX-79676 // TAX-351746 // ORG-5960 // ORG-5952 // ORG-5948	PWY-5420 // PWY-5415 // PWY-2503
PWY1YI0-3	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-33090 // TAX-1117	TAX-84588	RXN1YI0-14 // RXN1YI0-22 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN
PWY-7992	Super-Pathways // Cofactor-Biosynthesis	Menaquinone-Biosynthesis // Super-Pathways	TAX-2	TAX-272558 // TAX-197 // TAX-83555 // TAX-83557 // TAX-83556 // TAX-83560 // TAX-813 // TAX-210 // TAX-174 // TAX-173	MENAQUINONESYN-PWY // PWY-5783 // PWY-7371 // PWY-6262
PWY-6902	Carbohydrates-Degradation // Polymer-Degradation // Glycan-Pathways	Chitin-Degradation // Glycan-Pathways	TAX-33090 // TAX-33154 // TAX-1239 // TAX-201174 // TAX-976 // TAX-1224	TAX-4376 // TAX-150990 // TAX-615 // TAX-666 // TAX-44104 // TAX-66861 // TAX-243277 // TAX-29494	RXN-18080 // TRANS-RXN-323 // RXN-12626 // RXN-12625 // RXN-12623 // 3.2.1.14-RXN
PWY-8019	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-4751	TAX-33178 // TAX-63396 // TAX-5270	RXN-19904 // RXN-19903
PWY-283	AROMATIC-COMPOUNDS-DEGRADATION	Benzoate-Degradation	TAX-2	TAX-59406 // TAX-1422 // TAX-1076 // TAX-59405	BENZOATE--COA-LIGASE-RXN
PWY-5844	Cofactor-Biosynthesis	Menaquinone-Biosynthesis	TAX-2	TAX-1863 // TAX-2055 // TAX-36822 // TAX-2054 // TAX-1773 // TAX-1772 // TAX-1771 // TAX-1770 // TAX-1767 // TAX-1802 // TAX-1765 // TAX-1764 // TAX-2061 // TAX-1717 // TAX-33881 // TAX-2036 // TAX-50728 // TAX-31964 // TAX-31963 // TAX-28447 // TAX-33014 // TAX-2035 // TAX-37930 // TAX-47914 // TAX-1358 // TAX-1359 // TAX-1270 // TAX-43674 // TAX-1618 // TAX-1467 // TAX-1083 // TAX-1082 // TAX-1079 // TAX-997 // TAX-33 // TAX-28118 // TAX-28114 // TAX-28123	RXN-9205
PWY-7822	Carbohydrates-Degradation // Polymer-Degradation // Glycan-Pathways	Chitin-Degradation // Glycan-Pathways	TAX-2	TAX-615	RXN-18084 // RXN-18083 // RXN-12625 // RXN-12309 // 3.2.1.14-RXN // RXN-18079 // RXN-18080
PWY-6920	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS		TAX-34254 // TAX-39947 // TAX-4932	RXN-14275 // RXN-14276 // RXN-12669 // RXN-12668 // R223-RXN // 4-COUMARATE--COA-LIGASE-RXN
PWY-2503	AROMATIC-COMPOUNDS-DEGRADATION	Benzoate-Degradation	TAX-201174 // TAX-1224	TAX-471 // TAX-354 // TAX-196627 // TAX-106590 // ORG-5948 // ORG-5960 // ORG-5973 // ORG-6075	BENZOATE-12-DIOXYGENASE-RXN // 1.3.1.25-RXN
PWY0-1567	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-2 // TAX-2157	TAX-160488 // TAX-511145	RXN0-5268 // RXN0-5330
PWY-5850	Super-Pathways // Cofactor-Biosynthesis	Menaquinone-Biosynthesis // Super-Pathways	TAX-2	TAX-1017 // TAX-1018 // TAX-1019 // TAX-876 // TAX-879 // TAX-881 // TAX-42858 // TAX-1296 // ORG-6033	PWY-5853 // PWY-5837 // HEXPPSYN-PWY // PWY-5849
PWY-6855	Carbohydrates-Degradation // Polymer-Degradation // Glycan-Pathways	Chitin-Degradation // Glycan-Pathways	TAX-2157	TAX-69014	RXN-12309 // 3.2.1.14-RXN // N-ACETYLGLUCOSAMINE-DEACETYLASE-RXN // GLUCOSAMINE-6-P-DEAMIN-RXN // RXN-12545 // RXN-12544 // RXN-12543
PWY-8320	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-201174	TAX-116188	RXN-22664 // RXN-22666 // RXN-22665 // RXN-22659 // RXN-22658 // RXN-22663 // RXN-22660
PWY-5892	Cofactor-Biosynthesis	Menaquinone-Biosynthesis	TAX-85023 // TAX-171552	TAX-41986 // TAX-28134 // TAX-33917 // TAX-33884 // TAX-33885 // TAX-33918 // TAX-69368 // TAX-2033 // TAX-83231 // TAX-839	RXN-9363 // RXN-9360
PWY-7941	SECONDARY-METABOLITE-BIOSYNTHESIS	Isorenieratene-Biosynthesis	TAX-191412	TAX-274537 // TAX-1097 // TAX-331678 // TAX-290317	RXN-19136 // RXN-19134
PWY-7236	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-2	TAX-83332 // TAX-1773	RXN-14336 // RXN-14313
PWY-6820	AROMATIC-COMPOUNDS-BIOSYN	LIGNAN-SYN	TAX-33090	TAX-4005 // TAX-35941	RXN-12441
PWY0-1329	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-2	TAX-160488 // TAX-511145	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // RXN0-5268
PWY-5897	Super-Pathways // Cofactor-Biosynthesis	Menaquinone-Biosynthesis // Super-Pathways	TAX-85023 // TAX-815 // TAX-171552	TAX-41986 // TAX-28111 // TAX-817 // TAX-28116 // TAX-818 // TAX-28134 // TAX-144185 // TAX-33917 // TAX-33884 // TAX-33885 // TAX-33918 // TAX-69368 // TAX-2033 // TAX-821 // TAX-28131 // TAX-28132 // TAX-839	PWY-5816 // PWY-5891 // PWY-5837
PWY-7938	SECONDARY-METABOLITE-BIOSYNTHESIS	Isorenieratene-Biosynthesis	TAX-201174	TAX-1902 // TAX-1911 // TAX-1916 // TAX-68237 // TAX-53450	RXN-19134 // RXN-19133 // RXN1F-151 // RXN1F-150
PWY-7556	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-1131492 // TAX-4751	TAX-162425	RXN-15813
PWY-7487	AROMATIC-COMPOUNDS-BIOSYN // Other-biosynthesis	Glycosylation-Pathways // LIGNAN-SYN	TAX-3398	TAX-4006	RXN-15443 // RXN-15442
MENAQUINONESYN-PWY	Cofactor-Biosynthesis	Menaquinone-Biosynthesis	TAX-2157 // TAX-2	TAX-648 // TAX-644 // TAX-1049 // TAX-1428 // TAX-546 // TAX-1299 // TAX-32062 // TAX-37734 // TAX-511145 // TAX-37929 // TAX-2242 // TAX-2250 // TAX-2246 // TAX-2248 // TAX-29284 // TAX-548 // TAX-1618 // TAX-1270 // TAX-1771 // TAX-33 // TAX-37922 // TAX-554 // TAX-1373 // TAX-584 // TAX-585 // TAX-28068 // TAX-51367 // TAX-615 // TAX-1280 // TAX-271 // TAX-1473	ADOMET-DMK-METHYLTRANSFER-RXN
PWY-6069	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-33090 // TAX-2	TAX-96455 // TAX-110517 // TAX-222567	RXN-9820 // RXN-9819 // RXN-9818
PWY-7631	AROMATIC-COMPOUNDS-BIOSYN	LIGNAN-SYN	TAX-3398	TAX-48027 // TAX-4222 // TAX-205692	RXN-16365 // RXN-16364
PWY-6263	Super-Pathways // Cofactor-Biosynthesis	Menaquinone-Biosynthesis // Super-Pathways	TAX-183963 // TAX-2	TAX-1902 // TAX-100226 // TAX-274 // TAX-300852	PWY-7374 // PWY-6262 // MENAQUINONESYN-PWY // PWY-5783
PWY-695	HORMONE-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	Abscisic-Acid-Biosynthesis	TAX-3193	TAX-4081 // TAX-4113 // ORG-5993	RXN1F-155 // RXN-8074 // RXN-698 // 1.2.3.14-RXN // 1.1.1.288-RXN
PWY-7752	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-7742	TAX-7955	RXN-17375 // RXN-9140 // RXN-17364
PWY-5479	AROMATIC-COMPOUNDS-BIOSYN	LIGNAN-SYN	TAX-58024	TAX-407263 // TAX-407264	RXN-16344 // RXN-8738 // RXN-8736 // RXN-8735
PWY-5840	Super-Pathways // Cofactor-Biosynthesis	Menaquinone-Biosynthesis // Super-Pathways	TAX-2157 // TAX-2	TAX-1445 // TAX-1390 // TAX-1455 // TAX-1396 // TAX-1397 // TAX-1398 // TAX-1399 // TAX-260554 // TAX-1402 // TAX-1404 // TAX-1407 // TAX-1408 // TAX-33022 // TAX-1423 // TAX-1428 // TAX-2756 // TAX-115852 // TAX-1565 // TAX-29332 // TAX-997 // TAX-41170 // TAX-1422 // TAX-1359 // TAX-1641 // TAX-33 // TAX-2045 // TAX-28132 // TAX-1461 // TAX-51367 // TAX-2078 // TAX-1571 // TAX-1280 // TAX-29388 // TAX-29382 // TAX-1282 // TAX-1283 // TAX-1290 // TAX-29385 // TAX-1286 // TAX-1292 // TAX-2303 // TAX-271 // TAX-274	PWY-5839 // PWY-5807 // PWY-5837
PWY4FS-17	HORMONE-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	Abscisic-Acid-Biosynthesis	TAX-33090	TAX-4513 // TAX-4081 // TAX-4113	RXN-19715 // RXN-19716 // RXN-19718 // RXN-19717 // RXN4FS-20 // RXN4FS-21
PWY-6662	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS // Super-Pathways	TAX-2	TAX-57975 // TAX-208964 // TAX-652611 // TAX-287	PWY-6661 // PWY-6660
PWY-7139	AROMATIC-COMPOUNDS-BIOSYN // Other-biosynthesis	Glycosylation-Pathways // LIGNAN-SYN	TAX-4143 // TAX-91888	TAX-4058 // TAX-300844 // TAX-4182 // TAX-300843	RXN-13821 // RXN-13820 // RXN-13819 // RXN-13818 // RXN-13817
PWY-7998	Cofactor-Biosynthesis	Menaquinone-Biosynthesis	TAX-33208	TAX-9606	RXN-19670 // NADH-DEHYDROGENASE-QUINONE-RXN // RXN-19669
PWY-7955	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-286	TAX-287	RXN-19270 // RXN-19261 // RXN-19262 // RXN-19263
PWY-7630	AROMATIC-COMPOUNDS-BIOSYN	LIGNAN-SYN	TAX-3398	TAX-35933 // TAX-93608	RXN-16362 // RXN-16360
PWY-5849	Cofactor-Biosynthesis	Menaquinone-Biosynthesis	TAX-2	TAX-210 // TAX-1017 // TAX-1018 // TAX-1019 // TAX-876 // TAX-879 // TAX-881 // TAX-42858 // TAX-1296 // ORG-6033	RXN-9220
PWY-5641	AROMATIC-COMPOUNDS-DEGRADATION	Nitro-Toluene-Degradation	TAX-2	TAX-232721	RXN-8819 // 2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN // CATECHOL-2-3-DIOXYGENASE-RXN
PWY-6802	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-33090	TAX-203015 // TAX-265354	TYROSINE-DECARBOXYLASE-RXN // RXN-5821 // RXN-12370 // RXN3O-4113
PWY-5469	AROMATIC-COMPOUNDS-BIOSYN	LIGNAN-SYN	TAX-33090	TAX-4182 // TAX-300843	RXN-8677 // RXN-17352 // RXN-17351 // RXN-8705 // RXN-8704 // RXN-8703 // RXN-8696 // RXN-8695
PWY-5891	Cofactor-Biosynthesis	Menaquinone-Biosynthesis	TAX-201174 // TAX-976	TAX-41986 // TAX-28111 // TAX-817 // TAX-28116 // TAX-818 // TAX-821 // TAX-144185 // TAX-33917 // TAX-33884 // TAX-33885 // TAX-33918 // TAX-69368 // TAX-2033 // TAX-28131 // TAX-28132 // TAX-28134 // TAX-839	RXN-9362 // RXN-9359
PWY-6051	AROMATIC-COMPOUNDS-DEGRADATION	Nitro-Toluene-Degradation	TAX-33090	ORG-5993	RXN-9752 // RXN-9751 // RXN-9750 // RXN-9749 // RXN-9748 // RXN-9747 // RXN-9746 // RXN-9745 // RXN-9744 // RXN-9743 // RXN-9742 // RXN-9741
PWY-8296	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-1760	TAX-66881	RXN-21732 // RXN-22533 // RXN-21733 // RXN-13866 // RXN-13865 // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-6824	AROMATIC-COMPOUNDS-BIOSYN	LIGNAN-SYN	TAX-33090	TAX-35941	RXN-19421 // RXN-12452 // RXN-12453 // RXN-8681 // RXN-8680 // RXN-8679 // RXN-8678 // RXN-17352 // RXN-17351 // RXN-8677
PWY-5896	Super-Pathways // Cofactor-Biosynthesis	Menaquinone-Biosynthesis // Super-Pathways	TAX-201174 // TAX-976	TAX-1658 // TAX-28111 // TAX-817 // TAX-28116 // TAX-818 // TAX-821 // TAX-144185 // TAX-2014 // TAX-823 // TAX-28123 // TAX-28132 // TAX-28134 // TAX-59737 // TAX-33888	PWY-5806 // PWY-5890 // PWY-5837
P421-PWY	AROMATIC-COMPOUNDS-DEGRADATION	4-Nitrotoluene-Degradation	TAX-1224	ORG-5960 // ORG-5973	R363-RXN // R362-RXN // R361-RXN
PWY-7153	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-1760	TAX-1911	RXN-13869 // RXN-15414 // RXN-13868 // RXN-13867 // RXN-13866 // RXN-13865 // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-7491	AROMATIC-COMPOUNDS-BIOSYN // Other-biosynthesis // Metabolic-Clusters	Glycosylation-Pathways // LIGNAN-SYN // Metabolic-Clusters	TAX-41768 // TAX-71240	TAX-407263 // TAX-407264 // TAX-35933	RXN-15507 // RXN-15506 // RXN-15493 // RXN-15492 // RXN-15491
PWY-5644	AROMATIC-COMPOUNDS-DEGRADATION	4-Nitrotoluene-Degradation	TAX-2	ORG-5918	RXN-12735 // RXN-14412 // RXN-8842 // RXN-8841 // RXN-8840 // RXN-8832 // RXN-8829 // RXN-8831 // RXN-8828
PWY-5935	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-1763	TAX-83331 // TAX-83332 // TAX-233413	RXN-21420 // RXN-9457
PWY-7749	AROMATIC-COMPOUNDS-BIOSYN	LIGNAN-SYN	TAX-3398	TAX-93608	RXN-17350 // RXN-17349 // RXN-16344
PWY-5331	SECONDARY-METABOLITE-BIOSYNTHESIS	Taurine-Biosynthesis	TAX-2 // TAX-40674	TAX-9913 // TAX-9606 // TAX-40674 // TAX-10090 // TAX-313594 // TAX-10116 // TAX-91464	HYPOTAURINE-DEHYDROGENASE-RXN // SULFINOALANINE-DECARBOXYLASE-RXN // CYSTEINE-DIOXYGENASE-RXN
PWY-7536	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-201174	ORG-6265	RXN-15716 // RXN-15715 // RXN-15714 // 5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
PWY-5466	AROMATIC-COMPOUNDS-BIOSYN	LIGNAN-SYN	TAX-33090	TAX-55183 // TAX-35933 // TAX-3316	RXN-8678 // RXN-17353 // RXN-17352 // RXN-17351 // RXN-8684 // RXN-8683 // RXN-8681 // RXN-8680 // RXN-8679 // RXN-8677
PWY-8359	SECONDARY-METABOLITE-BIOSYNTHESIS	Taurine-Biosynthesis	TAX-8457	TAX-9031	RXN-19038 // CYSTAUR-RXN // CYSTEINE-LYASE-RXN
PWY-6068	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-33090	TAX-222567 // TAX-96455	RXN-9819 // RXN-9818 // 2.4.1.220-RXN
PWY-5703	AMINE-DEG	Urea-Degradation	TAX-2 // TAX-3041 // TAX-2763 // TAX-4751	TAX-4903 // TAX-89018 // TAX-4932 // ORG-6016	RXN0-5222 // RXN-20065 // UREA-CARBOXYLASE-RXN
PWY-7850	SECONDARY-METABOLITE-BIOSYNTHESIS	Taurine-Biosynthesis	TAX-2 // TAX-40674	TAX-9913 // TAX-9606 // TAX-10090 // TAX-10116	RXN66-555 // RXN-18355 // CYSTEAMINE-DIOXYGENASE-RXN // HYPOTAURINE-DEHYDROGENASE-RXN
PWY-7751	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-2	TAX-761194 // TAX-446462 // TAX-264691 // TAX-63737	RXN-17896 // RXN-17895 // RXN-17370 // RXN-17372 // ENTF-RXN // RXN-17368 // RXN-17367 // RXN-17366
PWY-5704	AMINE-DEG	Urea-Degradation	TAX-2 // TAX-33090 // TAX-4751	TAX-3847 // TAX-210 // TAX-1304 // ORG-6005	UREASE-RXN
PWY-7594	Lipid-Biosynthesis	Gamma-linolenate-Biosynthesis	TAX-1117	TAX-118562 // TAX-1219 // TAX-1148	RXN-16069
PWY-6661	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-2	TAX-57975 // TAX-287 // TAX-208964	RXN-17709 // RXN-17704 // RXN-17702 // AMINOBENZCOALIG-RXN // ANTHRANSYN-RXN
PWY-7712	SECONDARY-METABOLITE-BIOSYNTHESIS	Tricothecene-Biosynthesis	TAX-4751	TAX-5518 // TAX-449239 // ORG-6288	RXN-17048 // RXN-17047 // RXN-17046 // RXN-17045 // RXN-17044 // RXN-17043
PWY-6000	Lipid-Biosynthesis	Gamma-linolenate-Biosynthesis	TAX-33154	TAX-29923 // TAX-4903 // TAX-9606 // TAX-4952	RXN-9673 // 1.14.19.3-RXN
PWY-7936	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-71950	TAX-181762 // TAX-93625	RXN-19124 // AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN // RXN-19092 // RXN-19091 // RXN-19090 // RXN-19089
PWY-7730	SECONDARY-METABOLITE-BIOSYNTHESIS	Tricothecene-Biosynthesis	TAX-4751	TAX-5514	RXN-17042 // RXN-17041 // RXN-17040 // RXN-17039 // RXN-17038
PWY-5998	Lipid-Biosynthesis	Gamma-linolenate-Biosynthesis	TAX-33090 // TAX-1117	TAX-118562 // TAX-13363 // TAX-3483 // TAX-3942 // TAX-3218 // TAX-78511	RXN-8343
PWY-6703	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-2	TAX-224308 // TAX-511145	RXN-12093 // RXN0-6575 // RXN0-5507 // GTP-CYCLOHYDRO-I-RXN
PWY-7711	SECONDARY-METABOLITE-BIOSYNTHESIS	Tricothecene-Biosynthesis	TAX-4751	TAX-5518 // TAX-5514 // TAX-490622 // TAX-247546	RXN-17037 // RXN-17036 // RXN-17035 // RXN-17034 // RXN-17033 // RXN-17032 // RXN-17031 // RXN-17030 // RXN-17029 // TRICHODIENE-SYNTHASE-RXN
PWY-641	AROMATIC-COMPOUNDS-BIOSYN	PROANTHOCYANIDIN-SYN	TAX-58023	TAX-4442 // TAX-225101 // TAX-47247 // TAX-3880	RXN-18349 // RXN-18348 // RXN-17699 // RXN-17698 // RXN-10691 // RXN-10692 // RXN-10693
PWY-8158	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-4751	TAX-1004481 // TAX-41956 // TAX-67721	RXN-21515 // RXN-21516 // RXN-21517 // RXN-21518 // RXN-21519 // RXN-21520
PWY-7714	SECONDARY-METABOLITE-BIOSYNTHESIS	Tricothecene-Biosynthesis	TAX-4751	TAX-490622 // TAX-247546	RXN-17071 // RXN-17070 // RXN-17057 // RXN-17056
PWY-1081	Carbohydrates-Degradation // Polymer-Degradation // Glycan-Pathways	Glycan-Pathways // Pectin-Degradation	TAX-4751 // TAX-2 // TAX-3193	TAX-3627 // TAX-5053 // TAX-5061 // TAX-5068 // TAX-3708 // TAX-13415 // TAX-2711 // TAX-3369 // TAX-4039 // TAX-3634 // TAX-3635 // TAX-3750 // TAX-3879 // TAX-4097 // TAX-3435 // TAX-4081 // TAX-29760 // ORG-5993	RXN-19783
PWY-7040	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-2	TAX-536 // TAX-243365 // TAX-715342 // TAX-445969 // TAX-29581 // TAX-43657	RXN-18167 // RXN-13347 // RXN-13346 // RXN-13345 // RXN-13344 // RXN-13343 // RXN-13342 // RXN-13341 // RXN-13340 // RXN-10922
PWY-7713	SECONDARY-METABOLITE-BIOSYNTHESIS	Tricothecene-Biosynthesis	TAX-4751	TAX-5518 // ORG-6287 // ORG-6289	RXN-17055 // RXN-17054 // RXN-17053 // RXN-17052 // RXN-17051 // RXN-17050 // RXN-17049
PWY-5198	Cofactor-Biosynthesis	Factor-420-Biosynthesis	TAX-201174 // TAX-1117	TAX-1894 // TAX-1763 // TAX-1773 // TAX-83332 // TAX-1765 // TAX-1772 // TAX-1817 // TAX-1883 // TAX-1142	RXN-20703 // RXN-19230 // RXN-19229 // 1.5.99.9-RXN // RXN-8078 // RXN-8077
PWY-7248	Carbohydrates-Degradation // Polymer-Degradation	Pectin-Degradation	TAX-2	TAX-2336	RXN-2102 // RXN-14753 // GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN // RXN-14362 // GALACTUROISOM-RXN
PWY8J2-20	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS	TAX-4751 // TAX-2	TAX-224308 // TAX-27326	RXN-14311 // RXN-14312 // RXN8J2-80
PWY-7986	SECONDARY-METABOLITE-BIOSYNTHESIS	Siderophores-Biosynthesis	TAX-2	TAX-42323 // TAX-669	RXN-19438 // RXN-11115 // RXN-19463 // DHBAMPLIG-RXN // RXN-19446 // RXN-19495 // RXN-19496 // RXN-19497
PWY-822	Glycan-Pathways // Carbohydrates-Biosynthesis	Polysaccharides-Biosynthesis	TAX-2 // TAX-3193	TAX-4679 // TAX-4233 // TAX-4513	RXN-1803 // RXN-1804 // RXN-1802 // RXN-1801 // RXN-1781
